,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw
17700,-0.138,-0.33,0.977,-9.765,18.066,-7.751,0,0,0,0,5.751,-20.983
17720,-0.161,-0.306,0.953,-11.657,20.507,-14.404,0,0,0,0,6.311,-21.384
17740,-0.168,-0.325,0.983,-17.333,19.775,-15.136,0,0,0,0,6.547,-21.593
17760,-0.168,-0.325,0.983,-17.333,19.775,-15.136,0,0,0,0,6.547,-21.593
17780,-0.168,-0.325,0.983,-17.333,19.775,-15.136,0,0,0,0,6.767,-21.868
17800,-0.216,-0.368,1.02,-13.488,14.526,4.943,0,0,0,0,7.344,-22.483
17820,-0.216,-0.368,1.02,-13.488,14.526,4.943,0,0,0,0,7.437,-22.543
17840,-0.151,-0.421,1.003,5.676,-8.3,20.935,0,0,0,0,7.899,-22.675
17860,-0.091,-0.437,0.995,9.765,-13.183,18.371,0,0,0,0,7.866,-22.527
17880,-0.091,-0.437,0.995,9.765,-13.183,18.371,0,0,0,0,7.866,-22.527
17900,-0.091,-0.437,0.995,9.765,-13.183,18.371,0,0,0,0,7.866,-22.527
17920,-0.052,-0.413,0.948,7.629,-10.07,15.014,0,0,0,0,7.503,-22.011
17940,-0.052,-0.413,0.948,7.629,-10.07,15.014,0,0,0,0,7.47,-21.961
17960,-0.052,-0.413,0.948,7.629,-10.07,15.014,0,0,0,0,7.47,-21.961
17980,-0.136,-0.338,0.849,13.183,-29.663,1.708,0,0,0,0,6.663,-21.373
18000,-0.136,-0.338,0.849,13.183,-29.663,1.708,0,0,0,0,6.405,-21.231
18020,-0.171,-0.291,0.844,18.737,-38.208,4.333,0,0,0,0,5.784,-20.808
18040,-0.33,-0.243,0.812,44.433,-57.006,3.784,0,0,0,0,4.427,-19.451
18060,-0.356,-0.203,0.784,53.894,-68.908,-20.629,0,0,0,0,3.026,-18.154
18080,-0.563,-0.073,0.797,51.574,-80.993,7.263,0,0,0,0,2.208,-17.358
18100,-0.535,-0.091,0.837,30.273,-95.947,-2.136,0,0,0,0,0.84,-16.627
18120,-0.634,0.047,0.888,26.733,-113.281,-1.708,0,0,0,0,-0.802,-16.045
18140,-0.553,0.056,0.963,24.353,-136.352,-13.671,0,0,0,0,-2.362,-15.639
18160,-0.339,-0.013,0.999,12.512,-139.953,-16.479,0,0,0,0,-4.724,-15.238
18180,-0.152,0.035,0.91,-16.479,-96.496,-3.906,0,0,0,0,-6.767,-15.232
18200,-0.152,0.035,0.91,-16.479,-96.496,-3.906,0,0,0,0,-7.575,-15.364
18220,0.179,-0.099,1.097,-69.519,-68.725,9.765,0,0,0,0,-8.805,-16.71
18240,0.474,-0.293,1.266,-113.708,-64.636,-8.605,0,0,0,0,-9.508,-17.83
18260,0.764,-0.462,1.441,-126.281,-75.744,-93.383,0,0,0,0,-12.821,-22.153
18280,0.764,-0.462,1.441,-126.281,-75.744,-93.383,0,0,0,0,-13.963,-23.269
18300,0.658,-0.884,1.41,-93.383,-20.507,-84.106,0,0,0,0,-17.067,-25.911
18320,0.658,-0.884,1.41,-93.383,-20.507,-84.106,0,0,0,0,-17.644,-26.674
18340,0.658,-0.884,1.41,-93.383,-20.507,-84.106,0,0,0,0,-17.644,-26.674
18360,1.001,-0.885,0.904,-79.833,106.384,-72.265,0,0,0,0,-17.325,-28.482
18380,1.001,-0.885,0.904,-79.833,106.384,-72.265,0,0,0,0,-17.325,-28.482
18400,1.013,-0.861,0.834,-116.394,110.351,14.953,0,0,0,0,-16.083,-29.965
18420,0.742,-0.739,0.654,-145.996,66.284,3.662,0,0,0,0,-12.925,-37.095
18440,0.276,-0.389,0.596,3.479,72.937,51.452,0,0,0,0,-10.673,-38.913
18460,0.427,-0.305,0.434,119.079,24.963,25.024,0,0,0,0,-9.541,-37.21
18480,-0.075,-0.533,0.529,122.009,10.009,29.907,0,0,0,0,-8.926,-34.98
18500,0.101,-0.316,0.509,139.648,-10.62,23.864,0,0,0,0,-8.739,-33.733
18520,0.078,-0.318,0.53,147.644,-28.93,18.981,0,0,0,0,-8.904,-29.558
18540,0.165,-0.295,0.582,136.718,-33.935,9.704,0,0,0,0,-9.547,-26.191
18560,0.176,-0.258,0.615,107.299,-37.475,1.77,0,0,0,0,-10.266,-24.082
18580,0.174,-0.274,0.672,91.491,-47.424,-10.681,0,0,0,0,-11.008,-22.725
18600,0.174,-0.274,0.672,91.491,-47.424,-10.681,0,0,0,0,-11.255,-22.274
18620,0.208,-0.299,0.727,77.392,-58.105,-10.009,0,0,0,0,-12.442,-20.786
18640,0.279,-0.254,0.794,75.256,-64.147,-18.371,0,0,0,0,-13.485,-19.654
18660,0.318,-0.174,0.863,58.654,-47.302,-20.324,0,0,0,0,-15.985,-16.979
18680,0.318,-0.16,0.917,52.429,-28.381,-11.535,0,0,0,0,-16.71,-15.803
18700,0.353,-0.159,0.955,38.94,-12.817,-2.502,0,0,0,0,-17.149,-14.672
18720,0.372,-0.129,0.964,28.015,-3.54,4.272,0,0,0,0,-17.243,-13.903
18740,0.372,-0.129,0.964,28.015,-3.54,4.272,0,0,0,0,-17.243,-13.903
18760,0.372,-0.129,0.964,28.015,-3.54,4.272,0,0,0,0,-17.243,-13.903
18780,0.33,-0.16,1.013,-14.953,0.183,5.737,0,0,0,0,-17.21,-13.82
18800,0.33,-0.16,1.013,-14.953,0.183,5.737,0,0,0,0,-17.204,-13.892
18820,0.33,-0.16,1.013,-14.953,0.183,5.737,0,0,0,0,-17.188,-14.024
18840,0.309,-0.184,1.027,-17.211,4.394,4.882,0,0,0,0,-17.094,-14.265
18860,0.296,-0.212,1.041,-14.587,4.943,4.821,0,0,0,0,-16.957,-14.556
18880,0.301,-0.228,1.012,-5.493,10.192,6.591,0,0,0,0,-16.506,-15.051
18900,0.291,-0.236,1.015,-1.342,11.047,5.798,0,0,0,0,-16.325,-15.106
18920,0.291,-0.236,1.015,-1.342,11.047,5.798,0,0,0,0,-16.133,-15.122
18940,0.302,-0.208,0.998,7.08,5.432,4.211,0,0,0,0,-15.88,-14.902
18960,0.312,-0.21,1.002,5.92,11.535,3.173,0,0,0,0,-15.677,-14.743
18980,0.282,-0.225,1.027,6.225,15.869,3.295,0,0,0,0,-15.369,-14.589
19000,0.272,-0.228,1.042,6.835,20.08,5.126,0,0,0,0,-15.183,-14.512
19020,0.272,-0.228,1.042,6.835,20.08,5.126,0,0,0,0,-14.859,-14.392
19040,0.287,-0.23,1.083,6.164,29.113,6.774,0,0,0,0,-14.26,-14.238
19060,0.284,-0.241,1.155,5.798,41.687,6.042,0,0,0,0,-13.419,-14.073
19080,0.247,-0.256,1.249,9.521,60.424,3.723,0,0,0,0,-12.502,-13.875
19100,0.207,-0.254,1.312,14.526,75.805,7.385,0,0,0,0,-11.425,-13.628
19120,0.171,-0.251,1.347,17.395,88.806,12.023,0,0,0,0,-10.2,-13.348
19140,0.142,-0.244,1.358,20.324,96.496,14.953,0,0,0,0,-7.849,-12.821
19160,0.089,-0.227,1.3,19.897,114.624,22.155,0,0,0,0,-2.378,-11.7
19180,0.033,-0.21,1.247,25.695,113.403,24.108,0,0,0,0,-1.796,-11.563
19200,0.033,-0.21,1.247,25.695,113.403,24.108,0,0,0,0,-0.06,-11.162
19220,0.033,-0.21,1.247,25.695,113.403,24.108,0,0,0,0,-0.06,-11.162
19240,-0.028,-0.156,1.099,29.418,96.801,22.277,0,0,0,0,2.598,-10.409
19260,-0.046,-0.136,1.02,28.808,87.463,19.592,0,0,0,0,4.515,-9.788
19280,-0.053,-0.118,0.866,21.667,63.537,14.709,0,0,0,0,7.651,-8.662
19300,-0.053,-0.118,0.866,21.667,63.537,14.709,0,0,0,0,7.959,-8.547
19320,-0.048,-0.106,0.823,19.592,55.664,12.878,0,0,0,0,9.651,-7.888
19340,-0.086,-0.073,0.763,18.066,57.983,9.887,0,0,0,0,11.519,-7.152
19360,-0.086,-0.073,0.763,18.066,57.983,9.887,0,0,0,0,11.519,-7.152
19380,-0.146,-0.053,0.739,17.517,46.081,7.934,0,0,0,0,13.353,-6.421
19400,-0.171,-0.045,0.736,11.596,32.043,2.685,0,0,0,0,14.282,-6.031
19420,-0.194,-0.053,0.757,6.469,21.606,-0.183,0,0,0,0,14.765,-5.861
19440,-0.194,-0.053,0.757,6.469,21.606,-0.183,0,0,0,0,14.869,-5.828
19460,-0.187,-0.072,0.826,1.525,20.385,-0.671,0,0,0,0,15.336,-5.751
19480,-0.21,-0.066,0.83,-0.427,16.662,-2.441,0,0,0,0,15.93,-5.745
19500,-0.239,-0.069,0.836,-2.868,9.948,-3.173,0,0,0,0,16.122,-5.811
19520,-0.238,-0.073,0.853,-5.31,2.563,-4.089,0,0,0,0,16.155,-5.932
19540,-0.252,-0.08,0.876,-6.652,-1.831,-5.126,0,0,0,0,16.122,-6.047
19560,-0.266,-0.083,0.913,-4.943,-6.042,-6.164,0,0,0,0,16.078,-6.113
19580,-0.271,-0.082,0.935,-3.601,-3.845,-5.676,0,0,0,0,15.957,-6.223
19600,-0.271,-0.082,0.935,-3.601,-3.845,-5.676,0,0,0,0,15.897,-6.289
19620,-0.271,-0.089,0.959,-4.394,-0.854,-4.943,0,0,0,0,15.869,-6.394
19640,-0.279,-0.098,0.979,-5.187,-4.089,-5.004,0,0,0,0,15.847,-6.421
19660,-0.282,-0.114,1.041,-5.981,2.563,-4.089,0,0,0,0,15.644,-6.866
19680,-0.282,-0.114,1.041,-5.981,2.563,-4.089,0,0,0,0,15.671,-6.965
19700,-0.3,-0.109,1.034,-3.173,-1.159,-3.417,0,0,0,0,15.688,-7.086
19720,-0.3,-0.109,1.034,-3.173,-1.159,-3.417,0,0,0,0,15.671,-7.124
19740,-0.297,-0.113,1.041,-1.586,-2.441,-2.624,0,0,0,0,15.628,-7.168
19760,-0.284,-0.121,1.056,2.502,0.549,-1.586,0,0,0,0,15.617,-7.163
19780,-0.284,-0.121,1.056,2.502,0.549,-1.586,0,0,0,0,15.617,-7.135
19800,-0.277,-0.112,1.046,5.981,3.662,-1.22,0,0,0,0,15.661,-7.031
19820,-0.293,-0.114,1.038,5.737,4.272,-0.488,0,0,0,0,15.699,-6.97
19840,-0.293,-0.115,1.036,4.394,2.99,0.976,0,0,0,0,15.825,-6.789
19860,-0.288,-0.104,1.021,3.234,5.126,1.525,0,0,0,0,15.946,-6.652
19880,-0.287,-0.106,1.035,6.469,11.352,2.807,0,0,0,0,16.138,-6.52
19900,-0.297,-0.094,1.026,9.277,13.305,2.746,0,0,0,0,16.397,-6.328
19920,-0.306,-0.085,1.006,7.263,10.559,2.197,0,0,0,0,16.633,-6.152
19940,-0.309,-0.088,0.996,3.295,6.958,2.38,0,0,0,0,16.798,-6.047
19960,-0.296,-0.091,0.994,1.525,8.605,2.685,0,0,0,0,16.924,-5.998
19980,-0.291,-0.088,0.993,1.159,15.563,3.112,0,0,0,0,17.16,-5.954
20000,-0.314,-0.086,0.974,0.244,19.165,3.723,0,0,0,0,17.611,-5.91
20020,-0.323,-0.09,0.962,-0.61,14.099,2.99,0,0,0,0,17.781,-5.905
20040,-0.323,-0.09,0.962,-0.61,14.099,2.99,0,0,0,0,17.781,-5.905
20060,-0.315,-0.093,0.954,0,8.544,2.502,0,0,0,0,18.045,-5.899
20080,-0.302,-0.075,0.947,3.906,7.69,2.441,0,0,0,0,18.347,-5.8
20100,-0.312,-0.072,0.95,5.432,7.69,2.624,0,0,0,0,18.495,-5.69
20120,-0.312,-0.072,0.95,5.432,7.69,2.624,0,0,0,0,18.495,-5.69
20140,-0.3,-0.059,0.916,3.173,4.577,1.953,0,0,0,0,18.77,-5.416
20160,-0.304,-0.054,0.897,-0.732,2.441,0.793,0,0,0,0,18.852,-5.339
20180,-0.304,-0.054,0.897,-0.732,2.441,0.793,0,0,0,0,18.88,-5.333
20200,-0.3,-0.055,0.868,-6.042,3.417,-0.976,0,0,0,0,18.989,-5.465
20220,-0.29,-0.055,0.84,-7.324,1.831,-1.831,0,0,0,0,19.017,-5.526
20240,-0.29,-0.055,0.84,-7.324,1.831,-1.831,0,0,0,0,19.022,-5.559
20260,-0.29,-0.055,0.84,-7.324,1.831,-1.831,0,0,0,0,19.039,-5.63
20280,-0.259,-0.049,0.785,-11.047,-9.521,-3.906,0,0,0,0,18.912,-5.855
20300,-0.175,-0.052,0.616,-22.888,-14.648,-8.728,0,0,0,0,18.319,-6.564
20320,-0.175,-0.052,0.616,-22.888,-14.648,-8.728,0,0,0,0,18.231,-6.685
20340,-0.098,-0.027,0.439,-38.879,-15.686,-12.023,0,0,0,0,17.951,-7.196
20360,-0.111,-0.109,0.316,-61.828,-62.805,-30.029,0,0,0,0,16.688,-9.234
20380,-0.082,-0.171,0.319,-37.963,-97.045,-32.531,0,0,0,0,14.71,-10.848
20400,0.088,-0.17,0.265,-15.563,-123.596,-27.282,0,0,0,0,11.722,-11.909
20420,0.296,-0.093,0.17,-18.066,-139.343,-30.273,0,0,0,0,9.53,-12.639
20440,0.296,-0.093,0.17,-18.066,-139.343,-30.273,0,0,0,0,8.003,-13.189
20460,0.348,-0.137,0.302,-17.395,-174.438,-44.555,0,0,0,0,4.202,-14.122
20480,0.469,-0.208,0.328,7.446,-231.262,-42.724,0,0,0,0,-2.867,-14.716
20500,0.69,-0.166,0.417,-8.239,-229.614,-36.865,0,0,0,0,-8.915,-15.496
20520,0.721,-0.291,0.751,-9.033,-248.657,-30.334,0,0,0,0,-12.678,-16.023
20540,0.737,-0.306,1.049,-15.747,-248.413,-32.287,0,0,0,0,-17.764,-16.715
20560,0.771,-0.267,1.372,-26.123,-222.534,-31.616,0,0,0,0,-22.571,-17.473
20580,0.771,-0.267,1.372,-26.123,-222.534,-31.616,0,0,0,0,-22.571,-17.473
20600,0.771,-0.267,1.372,-26.123,-222.534,-31.616,0,0,0,0,-22.571,-17.473
20620,0.875,-0.358,2.252,10.314,-142.944,-26.794,0,0,0,0,-33.464,-18.934
20640,0.875,-0.358,2.252,10.314,-142.944,-26.794,0,0,0,0,-34.815,-18.923
20660,0.82,-0.287,2.235,17.15,-99.975,-16.967,0,0,0,0,-36.166,-18.753
20680,0.759,-0.233,2.082,15.869,-57.434,-9.277,0,0,0,0,-37.073,-18.555
20700,0.501,-0.193,1.649,-6.225,6.835,1.464,0,0,0,0,-37.529,-18.319
20720,0.474,-0.192,1.455,-6.103,21.728,4.943,0,0,0,0,-36.886,-18.325
20740,0.457,-0.189,1.29,-0.183,29.235,5.554,0,0,0,0,-36.145,-18.248
20760,0.457,-0.189,1.29,-0.183,29.235,5.554,0,0,0,0,-35.744,-18.176
20780,0.463,-0.194,1.129,0.366,31.738,4.028,0,0,0,0,-34.947,-17.995
20800,0.475,-0.208,0.979,-8.666,35.949,4.333,0,0,0,0,-34.535,-18.001
20820,0.494,-0.229,0.85,-22.46,39.855,6.53,0,0,0,0,-33.486,-18.248
20840,0.494,-0.229,0.85,-22.46,39.855,6.53,0,0,0,0,-33.277,-18.33
20860,0.546,-0.272,0.707,-36.193,28.198,10.437,0,0,0,0,-32.343,-19.138
20880,0.546,-0.272,0.707,-36.193,28.198,10.437,0,0,0,0,-31.92,-19.709
20900,0.548,-0.264,0.848,-3.234,1.525,0.793,0,0,0,0,-31.536,-20.786
20920,0.517,-0.261,0.957,7.934,8.056,0.549,0,0,0,0,-31.36,-20.615
20940,0.517,-0.261,0.957,7.934,8.056,0.549,0,0,0,0,-31.311,-20.549
20960,0.446,-0.238,1.36,26.672,12.084,2.075,0,0,0,0,-30.811,-19.769
20980,0.538,-0.217,1.525,26.672,34.484,3.601,0,0,0,0,-29.987,-18.89
21000,0.561,-0.255,1.635,15.686,64.086,5.187,0,0,0,0,-28.74,-18.27
21020,0.545,-0.298,1.706,7.995,92.59,9.582,0,0,0,0,-27.416,-17.907
21040,0.516,-0.342,1.736,-2.99,121.826,13.366,0,0,0,0,-25.186,-17.567
21060,0.516,-0.342,1.736,-2.99,121.826,13.366,0,0,0,0,-25.186,-17.567
21080,0.492,-0.36,1.657,15.991,149.78,23.925,0,0,0,0,-22.39,-17.177
21100,0.506,-0.318,1.434,52.001,177.673,38.94,0,0,0,0,-16.49,-15.628
21120,0.48,-0.298,1.304,55.725,183.471,42.602,0,0,0,0,-12.881,-14.496
21140,0.52,-0.251,1.13,49.011,191.284,44.799,0,0,0,0,-8.261,-13.172
21160,0.481,-0.225,0.936,30.944,197.143,42.724,0,0,0,0,-5.443,-12.584
21180,0.371,-0.196,0.784,18.31,191.406,40.771,0,0,0,0,-1.669,-12.189
21200,0.371,-0.196,0.784,18.31,191.406,40.771,0,0,0,0,1.082,-12.046
21220,0.238,-0.156,0.556,15.747,148.132,29.357,0,0,0,0,6.459,-11.771
21240,0.214,-0.1,0.47,10.986,127.929,18.981,0,0,0,0,8.316,-11.799
21260,0.214,-0.1,0.47,10.986,127.929,18.981,0,0,0,0,8.898,-11.826
21280,0.123,-0.061,0.399,9.521,112.121,8.911,0,0,0,0,10.931,-11.859
21300,-0.008,-0.031,0.341,10.131,76.11,2.441,0,0,0,0,13.491,-11.596
21320,-0.061,-0.022,0.369,12.939,50.292,-3.173,0,0,0,0,15.216,-11.189
21340,-0.066,0.006,0.39,12.145,31.616,-5.187,0,0,0,0,15.743,-10.942
21360,-0.085,0.024,0.425,5.31,23.315,-5.859,0,0,0,0,16.259,-10.656
21380,-0.085,0.024,0.425,5.31,23.315,-5.859,0,0,0,0,16.479,-10.546
21400,-0.117,-0.009,0.498,-3.356,12.573,-8.544,0,0,0,0,16.534,-10.546
21420,-0.117,-0.009,0.498,-3.356,12.573,-8.544,0,0,0,0,16.638,-10.552
21440,-0.175,-0.032,0.591,-7.751,-3.234,-12.207,0,0,0,0,16.622,-10.656
21460,-0.224,-0.036,0.681,-7.019,-16.235,-13.549,0,0,0,0,16.435,-10.75
21480,-0.223,-0.076,0.859,-3.479,-25.024,-15.869,0,0,0,0,15.507,-10.898
21500,-0.246,-0.104,0.953,-0.305,-23.681,-15.93,0,0,0,0,14.71,-10.936
21520,-0.296,-0.122,1.087,4.394,-21.118,-15.441,0,0,0,0,14.035,-10.799
21540,-0.296,-0.122,1.087,4.394,-21.118,-15.441,0,0,0,0,13.925,-10.777
21560,-0.287,-0.152,1.143,-0.793,-15.258,-12.329,0,0,0,0,13.287,-10.728
21580,-0.286,-0.156,1.153,-2.258,-9.155,-10.131,0,0,0,0,12.941,-10.772
21600,-0.263,-0.146,1.136,-2.685,-3.967,-8.178,0,0,0,0,12.788,-10.816
21620,-0.263,-0.146,1.136,-2.685,-3.967,-8.178,0,0,0,0,12.716,-10.854
21640,-0.247,-0.137,1.102,-4.394,-1.22,-7.507,0,0,0,0,12.667,-10.925
21660,-0.254,-0.14,1.078,-5.004,0,-6.469,0,0,0,0,12.656,-11.013
21680,-0.251,-0.145,1.062,-1.77,1.037,-6.652,0,0,0,0,12.661,-11.041
21700,-0.237,-0.143,1.042,2.197,3.417,-6.896,0,0,0,0,12.711,-10.997
21720,-0.25,-0.133,0.996,4.15,5.065,-6.896,0,0,0,0,12.859,-10.859
21740,-0.253,-0.132,0.984,2.746,3.173,-7.263,0,0,0,0,12.919,-10.805
21760,-0.253,-0.132,0.984,2.746,3.173,-7.263,0,0,0,0,12.958,-10.766
21780,-0.248,-0.137,0.981,2.197,2.685,-7.446,0,0,0,0,12.969,-10.755
21800,-0.248,-0.137,0.981,2.197,2.685,-7.446,0,0,0,0,13.002,-10.728
21820,-0.242,-0.135,0.967,0.671,5.981,-6.347,0,0,0,0,13.095,-10.689
21840,-0.256,-0.133,0.967,-1.831,3.051,-6.164,0,0,0,0,13.309,-10.717
21860,-0.259,-0.142,0.97,-2.746,0.061,-6.713,0,0,0,0,13.337,-10.75
21880,-0.259,-0.142,0.97,-2.746,0.061,-6.713,0,0,0,0,13.337,-10.794
21900,-0.26,-0.15,0.979,-2.258,-0.671,-5.737,0,0,0,0,13.32,-10.843
21920,-0.255,-0.155,1.003,6.225,1.159,-6.347,0,0,0,0,13.309,-10.772
21940,-0.268,-0.149,1.008,7.69,1.525,-5.859,0,0,0,0,13.326,-10.678
21960,-0.268,-0.147,1.013,6.835,-0.671,-4.516,0,0,0,0,13.342,-10.53
21980,-0.268,-0.147,1.013,6.835,-0.671,-4.516,0,0,0,0,13.337,-10.458
22000,-0.264,-0.143,1.014,5.004,-1.708,-3.845,0,0,0,0,13.309,-10.343
22020,-0.262,-0.14,1.014,6.53,-0.976,-2.807,0,0,0,0,13.287,-10.167
22040,-0.269,-0.137,1.008,7.812,1.281,-1.77,0,0,0,0,13.32,-10.041
22060,-0.263,-0.129,1.002,10.253,2.319,-1.77,0,0,0,0,13.386,-9.777
22080,-0.267,-0.131,0.985,8.178,1.708,-1.22,0,0,0,0,13.43,-9.64
22100,-0.258,-0.126,0.977,3.662,-2.807,-2.014,0,0,0,0,13.436,-9.475
22120,-0.255,-0.121,0.991,5.859,-1.159,-2.807,0,0,0,0,13.397,-9.376
22140,-0.262,-0.112,0.987,5.371,0.122,-2.38,0,0,0,0,13.386,-9.244
22160,-0.262,-0.104,0.983,2.441,-2.075,-2.929,0,0,0,0,13.392,-9.135
22180,-0.262,-0.104,0.983,2.441,-2.075,-2.929,0,0,0,0,13.381,-9.096
22200,-0.237,-0.091,0.978,-9.277,-2.746,-9.948,0,0,0,0,13.353,-9.124
22220,-0.282,-0.136,0.989,-7.446,-5.92,-0.915,0,0,0,0,13.276,-9.299
22240,-0.236,-0.132,1.016,-11.352,-9.582,-3.234,0,0,0,0,13.161,-9.453
22260,-0.245,-0.114,1.014,-26.733,-18.432,15.991,0,0,0,0,12.705,-10.145
22280,-0.285,-0.194,1.048,-22.766,-22.521,27.038,0,0,0,0,12.409,-10.53
22300,-0.274,-0.192,1.106,-16.052,-20.996,32.531,0,0,0,0,12.106,-10.81
22320,-0.274,-0.192,1.106,-16.052,-20.996,32.531,0,0,0,0,11.909,-10.931
22340,-0.253,-0.154,1.135,22.277,-35.644,50.659,0,0,0,0,11.392,-10.508
22360,-0.253,-0.154,1.135,22.277,-35.644,50.659,0,0,0,0,11.145,-10.162
22380,-0.232,-0.164,1.142,22.705,-34.545,34.667,0,0,0,0,10.601,-9.519
22400,-0.238,-0.171,1.152,30.151,-30.822,35.339,0,0,0,0,9.981,-8.613
22420,-0.187,-0.136,1.182,47.851,-4.943,33.447,0,0,0,0,9.602,-6.937
22440,-0.211,-0.078,1.152,51.757,4.699,30.761,0,0,0,0,9.624,-5.844
22460,-0.206,-0.047,1.109,59.57,0.854,31.066,0,0,0,0,9.766,-4.652
22480,-0.206,-0.047,1.109,59.57,0.854,31.066,0,0,0,0,9.816,-3.663
22500,-0.242,-0.04,1.092,65.856,-10.742,38.085,0,0,0,0,9.783,-3.301
22520,-0.211,-0.018,1.064,57.8,-16.296,37.536,0,0,0,0,9.464,-1.246
22540,-0.146,0.049,0.986,42.053,-9.155,25.451,0,0,0,0,9.052,0.34
22560,-0.137,0.072,0.963,39.489,-3.356,27.832,0,0,0,0,8.887,1.279
22580,-0.184,0.046,0.943,38.208,-3.417,36.987,0,0,0,0,8.805,2.18
22600,-0.184,0.046,0.943,38.208,-3.417,36.987,0,0,0,0,8.767,2.62
22620,-0.215,0.1,0.919,20.629,-16.174,50.292,0,0,0,0,8.399,3.713
22640,-0.215,0.1,0.919,20.629,-16.174,50.292,0,0,0,0,8.151,4.141
22660,-0.202,0.206,0.945,28.625,-9.521,16.174,0,0,0,0,7.789,4.85
22680,-0.165,0.16,1.006,12.817,-15.136,18.737,0,0,0,0,7.597,5.449
22700,-0.165,0.16,1.006,12.817,-15.136,18.737,0,0,0,0,7.52,5.531
22720,-0.165,0.16,1.006,12.817,-15.136,18.737,0,0,0,0,7.366,5.701
22740,-0.157,0.168,1.087,21.85,-21.85,29.296,0,0,0,0,6.888,6.234
22760,-0.113,0.192,1.074,-29.602,-12.084,-2.807,0,0,0,0,6.278,5.707
22780,-0.114,0.122,1.09,-28.503,0.305,4.089,0,0,0,0,6.108,4.751
22800,-0.146,0.13,1.074,-40.405,8.605,5.615,0,0,0,0,6.295,3.988
22820,-0.179,0.125,1.052,-70.861,14.465,1.037,0,0,0,0,6.459,3.301
22840,-0.108,0.067,1.022,-80.2,7.69,-0.244,0,0,0,0,6.734,1.428
22860,-0.15,0.071,0.962,-67.016,2.502,-27.832,0,0,0,0,6.778,-0.818
22880,-0.15,0.071,0.962,-67.016,2.502,-27.832,0,0,0,0,6.817,-1.494
22900,-0.073,0.055,0.905,-7.141,12.207,-55.297,0,0,0,0,6.882,-1.878
22920,-0.073,0.055,0.905,-7.141,12.207,-55.297,0,0,0,0,6.926,-1.933
22940,-0.125,0.122,1.072,112.731,15.625,-40.222,0,0,0,0,7.531,0.324
22960,-0.032,-0.048,0.837,41.687,26.428,-75.134,0,0,0,0,8.377,2.285
22980,-0.032,-0.048,0.837,41.687,26.428,-75.134,0,0,0,0,8.767,2.686
23000,-0.128,-0.071,0.781,59.631,34.423,-35.522,0,0,0,0,8.953,2.933
23020,-0.128,-0.071,0.781,59.631,34.423,-35.522,0,0,0,0,9.135,3.18
23040,-0.128,-0.071,0.781,59.631,34.423,-35.522,0,0,0,0,9.321,3.422
23060,-0.137,-0.186,0.657,-35.827,56.213,24.719,0,0,0,0,10.958,3.828
23080,0.102,0.1,0.635,-9.155,28.747,62.072,0,0,0,0,14.688,4.317
23100,-0.148,0.095,0.7,-39.428,8.178,16.723,0,0,0,0,14.804,4.075
23120,-0.148,0.095,0.7,-39.428,8.178,16.723,0,0,0,0,14.864,3.751
23140,-0.34,0.172,0.875,-50.964,-81.726,15.686,0,0,0,0,14.111,3.153
23160,-0.294,0.211,1.068,-67.749,-194.946,-28.991,0,0,0,0,10.48,1.653
23180,-0.204,0.038,1.076,-0.976,-28.625,-15.625,0,0,0,0,8.854,1.499
23200,-0.204,0.038,1.076,-0.976,-28.625,-15.625,0,0,0,0,8.585,1.472
23220,-0.209,0.087,1.074,-9.46,-25.573,-19.104,0,0,0,0,8.217,1.351
23240,-0.164,0.071,1.089,-7.568,-22.338,-29.052,0,0,0,0,7.564,1.043
23260,-0.146,0.045,1.085,0.915,-11.84,-16.845,0,0,0,0,7.454,1.038
23280,-0.12,0.064,1.097,-3.54,-5.554,-14.16,0,0,0,0,7.25,0.977
23300,-0.102,0.043,1.078,-13.61,-8.728,-14.648,0,0,0,0,7.174,0.884
23320,-0.102,0.043,1.078,-13.61,-8.728,-14.648,0,0,0,0,7.13,0.812
23340,-0.102,0.043,1.078,-13.61,-8.728,-14.648,0,0,0,0,7.031,0.664
23360,-0.012,0.049,1.062,-26.245,-25.268,-45.837,0,0,0,0,6.547,0.027
23380,-0.203,-0.007,0.97,31.25,-27.648,-30.334,0,0,0,0,4.301,-1.356
23400,-0.203,-0.007,0.97,31.25,-27.648,-30.334,0,0,0,0,4.18,-1.208
23420,-0.103,-0.018,1.012,17.578,-31.372,-17.028,0,0,0,0,3.795,-0.834
23440,-0.036,0.006,1.023,12.878,-32.043,0.488,0,0,0,0,3.18,-0.527
23460,-0.038,0.071,1.042,-20.507,-8.911,-1.281,0,0,0,0,2.169,-0.439
23480,0.057,0.081,1.064,-25.878,-14.404,-17.456,0,0,0,0,1.955,-0.823
23500,0.057,0.081,1.064,-25.878,-14.404,-17.456,0,0,0,0,1.697,-1.164
23520,0.011,0.055,1.079,-27.404,-27.404,-37.536,0,0,0,0,1.115,-1.675
23540,0.068,-0.01,1.142,-37.231,-13,-41.198,0,0,0,0,0.379,-2.686
23560,0.068,0.018,1.087,-8.3,2.868,-61.34,0,0,0,0,0.104,-3.251
23580,0.068,0.018,1.087,-8.3,2.868,-61.34,0,0,0,0,0.076,-3.312
